Volatge (V),Frequency,Current
2.436422287,8133068,1556
2.433489736,8132996,1554
2.433489736,8132948,1553
2.430557185,8133692,1552
2.429090909,8133980,1551
2.427624633,8133836,1549
2.426158358,8133692,1548
2.427624633,8134388,1547
2.426158358,8134892,1547
2.423225807,8134436,1545
2.420293255,8135132,1544
2.420293255,8135420,1543
2.418826979,8135900,1542
2.417360704,8135900,1541
2.417360704,8136140,1541
2.414428153,8136524,1539
2.412961877,8136332,1538
2.411495602,8137028,1537
2.410029326,8137436,1536
2.407096774,8137412,1534
2.407096774,8137268,1533
2.405630499,8137676,1532
2.404164223,8138516,1530
2.404164223,8139332,1529
2.401231672,8138828,1528
2.396832845,8139908,1527
2.39829912,8140220,1525
2.395366569,8140244,1525
2.393900294,8140868,1523
2.390967742,8141348,1522
2.390967742,8141852,1521
2.388035191,8142140,1518
2.388035191,8141948,1518
2.383636364,8142644,1516
2.383636364,8142548,1514
2.380703812,8142764,1514
2.377771261,8142956,1512
2.379237537,8143796,1511
2.377771261,8144012,1510
2.37483871,8144612,1509
2.373372434,8145116,1507
2.373372434,8145620,1507
2.371906158,8145740,1506
2.370439883,8146484,1505
2.370439883,8146796,1504
2.366041056,8147252,1503
2.366041056,8147060,1502
2.366041056,8147228,1502
2.363108504,8147348,1500
2.363108504,8147588,1499
2.360175953,8147684,1499
2.360175953,8147732,1497
2.358709678,8148356,1496
2.357243402,8148788,1495
2.355777126,8148908,1495
2.35431085,8149508,1493
2.35431085,8149940,1493
2.351378299,8150924,1492
2.351378299,8150564,1491
2.349912024,8150996,1490
2.346979472,8151548,1489
2.346979472,8152052,1488
2.344046921,8152676,1487
2.342580645,8152724,1486
2.342580645,8153156,1485
2.34111437,8153444,1484
2.339648094,8153876,1483
2.338181819,8154476,1482
2.336715543,8155028,1480
2.333782991,8155964,1479
2.332316716,8156228,1478
2.33085044,8156852,1477
2.327917889,8157356,1475
2.327917889,8158460,1473
2.324985337,8158100,1473
2.323519062,8159516,1472
2.322052786,8159468,1470
2.320586511,8160284,1469
2.319120235,8160980,1469
2.317653959,8161508,1467
2.316187683,8161124,1466
2.314721408,8161964,1465
2.313255132,8162228,1464
2.313255132,8162588,1463
2.311788857,8163644,1462
2.310322581,8164268,1462
2.307390029,8164748,1461
2.307390029,8165012,1460
2.304457478,8165564,1459
2.304457478,8165660,1458
2.304457478,8166356,1457
2.301524927,8166596,1456
2.300058651,8167532,1455
2.298592375,8167892,1454
2.2971261,8167484,1453
2.295659824,8168684,1452
2.295659824,8169332,1451
2.295659824,8168828,1450
2.292727273,8169620,1449
2.289794721,8170172,1448
2.289794721,8170676,1447
2.28686217,8171084,1446
2.28686217,8171612,1445
2.285395895,8172356,1444
2.283929619,8172284,1443
2.282463343,8172764,1442
2.280997067,8173340,1441
2.280997067,8174180,1440
2.278064516,8173988,1439
2.278064516,8174876,1438
2.275131965,8175644,1436
2.275131965,8176172,1435
2.272199413,8176604,1435
2.272199413,8176796,1434
2.270733138,8177396,1433
2.270733138,8178260,1432
2.269266862,8178692,1431
2.266334311,8179004,1431
2.266334311,8179604,1429
2.26340176,8179556,1428
2.26340176,8180804,1428
2.261935484,8180444,1426
2.260469208,8180420,1425
2.260469208,8181404,1424
2.260469208,8181140,1424
2.257536657,8181932,1423
2.256070382,8182364,1422
2.254604106,8183036,1421
2.251671554,8182748,1420
2.25313783,8183492,1420
2.251671554,8185220,1420
2.248739003,8184596,1418
2.248739003,8185004,1417
2.247272728,8185652,1416
2.247272728,8185700,1416
2.245806452,8186276,1415
2.2428739,8185844,1414
2.2428739,8186684,1414
2.2428739,8187188,1413
2.239941349,8187164,1413
2.241407625,8187356,1413
2.239941349,8188028,1412
2.238475074,8188580,1411
2.237008798,8188556,1410
2.235542522,8189636,1409
2.234076246,8189348,1408
2.234076246,8189828,1407
2.22967742,8190476,1405
2.22967742,8191316,1405
2.228211144,8191868,1404
2.225278592,8192444,1402
2.225278592,8192468,1402
2.225278592,8193020,1401
2.222346041,8193860,1400
2.21941349,8194148,1399
2.21941349,8194292,1398
2.21941349,8193932,1398
2.217947214,8195516,1397
2.216480938,8196308,1395
2.213548387,8195900,1394
2.213548387,8196404,1393
2.213548387,8196860,1392
2.210615836,8197028,1391
2.20914956,8197724,1390
2.207683284,8198204,1389
2.204750733,8198684,1387
2.204750733,8199116,1386
2.203284458,8199380,1386
2.201818182,8199356,1384
2.201818182,8199524,1383
2.200351907,8199956,1383
2.198885631,8199908,1383
2.198885631,8200028,1382
2.195953079,8200892,1380
2.195953079,8201396,1380
2.194486804,8202428,1379
2.193020528,8202812,1378
2.191554253,8203196,1377
2.190087977,8203196,1375
2.187155425,8203820,1375
2.187155425,8203340,1374
2.187155425,8202764,1373
2.187155425,8204012,1373
2.184222874,8203988,1372
2.184222874,8204372,1371
2.182756599,8204300,1371
2.181290323,8204540,1370
2.179824047,8205500,1368
2.178357771,8205356,1368
2.176891496,8205716,1367
2.17542522,8206244,1365
2.17542522,8206796,1364
2.172492669,8207780,1364
2.171026393,8207300,1363
2.169560117,8207708,1361
2.169560117,8208020,1360
2.168093842,8208548,1360
2.166627566,8208836,1358
2.163695015,8209388,1356
2.163695015,8209316,1356
2.160762463,8209700,1355
2.159296188,8210324,1353
2.157829912,8210420,1352
2.157829912,8210684,1352
2.157829912,8210924,1351
2.154897361,8211404,1350
2.153431085,8211284,1349
2.151964809,8212436,1348
2.149032258,8212724,1347
2.149032258,8212868,1346
2.149032258,8212940,1345
2.146099707,8212964,1344
2.146099707,8213516,1343
2.144633431,8213876,1342
2.143167155,8214356,1341
2.143167155,8214716,1341
2.14170088,8214836,1340
2.138768329,8215292,1338
2.137302053,8216180,1337
2.137302053,8215604,1337
2.135835777,8216468,1336
2.134369501,8216180,1336
2.132903226,8216132,1334
2.13143695,8215628,1333
2.129970675,8216396,1332
2.128504399,8216636,1331
2.127038124,8216468,1330
2.125571848,8217020,1329
2.124105572,8217188,1328
2.122639296,8217596,1327
2.122639296,8218364,1326
2.119706745,8218484,1325
2.11824047,8218700,1323
2.116774194,8218940,1322
2.115307918,8218580,1322
2.113841642,8219780,1320
2.112375367,8219444,1319
2.110909091,8219156,1318
2.109442816,8220116,1317
2.10797654,8219924,1315
2.106510264,8220716,1315
2.102111437,8219852,1313
2.102111437,8220164,1312
2.102111437,8220644,1311
2.100645162,8221196,1311
2.09771261,8221388,1309
2.09771261,8221556,1308
2.096246334,8221796,1307
2.096246334,8222084,1306
2.093313783,8221796,1305
2.090381232,8222204,1304
2.091847508,8222636,1303
2.08744868,8222756,1302
2.08744868,8222684,1300
2.085982405,8223284,1299
2.084516129,8222828,1298
2.083049854,8222852,1297
2.081583578,8223452,1296
2.078651026,8223332,1294
2.077184751,8223668,1292
2.075718475,8223476,1292
2.0742522,8223524,1291
2.071319648,8224076,1289
2.069853372,8223932,1288
2.068387097,8223668,1287
2.066920821,8223476,1285
2.06398827,8224004,1285
2.062521994,8224244,1282
2.061055718,8224172,1281
2.061055718,8223740,1280
2.058123167,8224268,1280
2.056656892,8224124,1278
2.055190616,8224916,1277
2.052258065,8225060,1275
2.052258065,8224388,1273
2.050791789,8224604,1273
2.049325513,8225012,1273
2.046392962,8224052,1271
2.044926687,8224364,1270
2.043460411,8224580,1268
2.043460411,8223860,1267
2.040527859,8224004,1266
2.040527859,8224028,1265
2.037595308,8224076,1263
2.036129033,8223980,1262
2.034662757,8224028,1261
2.034662757,8224052,1261
2.034662757,8224100,1261
2.031730205,8224172,1259
2.03026393,8223932,1258
2.028797654,8223740,1257
2.025865103,8223764,1256
2.025865103,8223980,1255
2.025865103,8223956,1254
2.022932551,8224076,1253
2.021466276,8223452,1251
2.02,8223860,1251
2.018533725,8223764,1250
2.017067449,8223548,1249
2.017067449,8223836,1248
2.014134897,8223764,1247
2.014134897,8223236,1246
2.011202346,8223596,1244
2.008269795,8223524,1243
2.006803519,8223308,1241
2.006803519,8223188,1240
2.003870968,8222828,1240
2.002404692,8222756,1238
1.999472141,8222372,1236
1.999472141,8222180,1235
1.998005865,8222324,1235
1.998005865,8222468,1234
1.996539589,8221892,1233
1.993607038,8221676,1232
