Volatge (V),Frequency,Current
3.401327468,7961036,2304
3.398883675,7961180,2303
3.398883675,7961492,2302
3.398883675,7961180,2300
3.396439883,7961780,2300
3.398883675,7962980,2299
3.39399609,7962516,2297
3.389108504,7963316,2297
3.390737699,7963364,2296
3.386664712,7964252,2294
3.386664712,7964084,2293
3.389108504,7963508,2292
3.384220919,7964516,2291
3.384220919,7964932,2289
3.381777126,7964708,2289
3.381777126,7965068,2287
3.384220919,7965428,2286
3.376889541,7965836,2285
3.376889541,7966604,2284
3.379333333,7967612,2283
3.374445748,7966556,2282
3.374445748,7966820,2281
3.374445748,7966844,2280
3.372001955,7967156,2279
3.369558162,7967348,2278
3.369558162,7968260,2278
3.36711437,7968212,2277
3.364670577,7968428,2276
3.36711437,7969052,2274
3.364670577,7969364,2274
3.359782991,7969940,2273
3.359782991,7969796,2271
3.359782991,7969964,2270
3.357339199,7970132,2269
3.354895406,7970780,2268
3.352451613,7970492,2267
3.354895406,7970276,2266
3.35326621,7971604,2265
3.347564028,7971836,2264
3.35000782,7971788,2263
3.35000782,7972292,2262
3.348378625,7972580,2260
3.345120235,7972436,2259
3.345120235,7973660,2259
3.342676442,7973684,2257
3.342676442,7974428,2256
3.340232649,7974932,2255
3.337788857,7974140,2255
3.337788857,7974476,2253
3.335345064,7975268,2252
3.335345064,7975412,2251
3.333715869,7975780,2248
3.330457478,7976780,2248
3.330457478,7977068,2246
3.328013685,7977332,2245
3.325569892,7978004,2244
3.3231261,7977788,2242
3.320682307,7978340,2241
3.322311502,7978292,2240
3.320682307,7978268,2238
3.320682307,7979252,2237
3.320682307,7980140,2236
3.315794721,7980452,2235
3.310907136,7980020,2234
3.315794721,7980764,2233
3.310907136,7981012,2232
3.308463343,7981508,2231
3.310907136,7981916,2229
3.30601955,7982180,2228
3.30601955,7981732,2227
3.301131965,7982372,2225
3.304390355,7982932,2225
3.303575758,7983428,2224
3.298688172,7983932,2223
3.301131965,7984436,2222
3.298688172,7984460,2221
3.297873574,7984260,2221
3.296244379,7984964,2219
3.296244379,7985396,2218
3.293800587,7984988,2217
3.291356794,7985156,2216
3.291356794,7985492,2214
3.286469208,7985828,2214
3.291356794,7986332,2213
3.286469208,7986260,2212
3.286469208,7986764,2210
3.286469208,7987076,2210
3.286469208,7986908,2210
3.281581623,7987940,2209
3.284025416,7987700,2208
3.281581623,7988084,2207
3.27913783,7987892,2206
3.281581623,7988612,2205
3.276694037,7988612,2204
3.276694037,7988636,2204
3.276694037,7989380,2203
3.274250245,7989404,2203
3.274250245,7989524,2202
3.276694037,7990292,2201
3.274250245,7991084,2201
3.271806452,7990916,2200
3.269362659,7991156,2199
3.266918866,7991684,2198
3.264475074,7992140,2197
3.266918866,7992548,2196
3.263660476,7992660,2195
3.262031281,7994996,2194
3.262031281,7992740,2193
3.262031281,7994156,2192
3.257143695,7994012,2191
3.257143695,7994180,2190
3.257143695,7994564,2189
3.257143695,7994876,2188
3.252256109,7995188,2188
3.253885304,7995028,2186
3.249812317,7995668,2185
3.249812317,7996292,2184
3.247368524,7996580,2183
3.247368524,7997588,2182
3.247368524,7996988,2180
3.242480938,7996436,2180
3.242480938,7998884,2178
3.242480938,7999820,2177
3.242480938,7998596,2176
3.242480938,7998020,2176
3.239222548,7998516,2175
3.237593353,7999220,2174
3.23514956,7999556,2173
3.23514956,7999004,2172
3.23514956,7999772,2172
3.232705767,7999868,2170
3.232705767,7999724,2169
3.231076572,8000212,2169
3.232705767,8000756,2167
3.227818182,8000684,2167
3.227818182,8001308,2166
