Volatge (V),Frequency (Hz),current (uA)
1.890967742,1021052,201.08
1.886568915,1021076,200.94
1.886568915,1021100,200.74
1.885102639,1021124,200.58
1.882170088,1021172,200.43
1.882170088,1021196,200.25
1.880703813,1021220,200.13
1.879237537,1021220,200.01
1.877771261,1021268,199.84
1.877771261,1021292,199.64
1.876304985,1021364,199.4
1.873372434,1021364,199.19
1.871906159,1021364,198.94
1.868973607,1021460,198.64
1.867507331,1021508,198.48
1.866041056,1021556,198.24
1.863108505,1021580,198.02
1.863108505,1021628,197.97
1.861642229,1021628,197.81
1.860175953,1021676,197.6
1.858709677,1021676,197.47
1.858709677,1021748,197.35
1.855777126,1021772,197.09
1.855777126,1021772,196.85
1.851378299,1021796,196.63
1.849912023,1021868,196.33
1.846979472,1021892,196.11
1.844046921,1021940,195.94
1.844046921,1022036,195.72
1.842580646,1022060,195.47
1.839648094,1022108,195.28
1.838181818,1022204,195.07
1.836715543,1022180,194.88
1.835249267,1022228,194.76
1.835249267,1022324,194.68
1.832316716,1022300,194.46
1.83085044,1022324,194.27
1.829384164,1022420,194.08
1.827917889,1022492,193.88
1.826451613,1022492,193.69
1.824985338,1022540,193.52
1.82058651,1022612,193.24
1.82058651,1022636,193
1.819120235,1022708,192.81
1.817653959,1022684,192.54
1.814721408,1022804,192.31
1.811788856,1022756,192.23
1.811788856,1022852,191.98
1.808856305,1022948,191.74
1.80739003,1022996,191.58
1.805923754,1022972,191.38
1.804457478,1023020,191.14
1.802991202,1023044,190.96
1.800058651,1023140,190.68
1.800058651,1023164,190.41
1.7971261,1023188,190.3
1.7971261,1023260,190.11
1.794193548,1023308,189.98
1.791260997,1023308,189.89
1.792727273,1023308,189.84
1.792727273,1023236,189.85
1.792727273,1023236,189.85
1.791260997,1023260,189.91
1.792727273,1023236,189.85
1.792727273,1023308,189.83
1.792727273,1023284,189.93
1.791260997,1023332,189.94
1.794193548,1023332,189.86
