Volatge (V),Frequency (Hz),current (uA)
3.288913001,1008044,393.13
3.286469208,1008044,392.85
3.286469208,1008092,392.58
3.281581623,1008044,392.2
3.281581623,1008020,391.94
3.27913783,1008068,391.62
3.276694037,1008116,391.22
3.276694037,1008068,390.95
3.274250245,1008068,390.77
3.271806452,1008068,390.46
3.271806452,1008092,390.15
3.266918866,1008140,389.95
3.266918866,1008116,389.62
3.266918866,1008188,389.31
3.262031281,1008212,388.96
3.262031281,1008164,388.65
3.259587488,1008092,388.44
3.257143695,1008140,388.14
3.257143695,1008164,387.71
3.252256109,1008140,387.42
3.252256109,1008044,387.17
3.247368524,1008068,386.76
3.247368524,1008092,386.43
3.247368524,1008068,386.26
3.244924731,1008092,386.03
3.242480938,1008068,385.69
3.240037146,1008068,385.35
3.237593353,1008068,384.99
3.237593353,1008116,384.8
3.232705767,1008092,384.59
3.232705767,1008116,384.22
3.232705767,1008140,383.92
3.230261975,1008092,383.68
3.227818182,1008092,383.29
3.225374389,1008116,382.97
3.222930596,1008140,382.67
3.220486804,1008116,382.32
3.218043011,1008116,382.07
3.218043011,1008092,381.79
3.213155425,1008092,381.48
3.213155425,1008116,381.22
3.210711633,1008068,380.96
3.210711633,1008188,380.61
3.20826784,1008236,380.35
3.20826784,1008116,380.14
3.203380254,1008260,379.84
3.205824047,1008308,379.6
3.203380254,1008332,379.41
3.203380254,1008260,379.14
3.200936462,1008284,378.95
3.198492669,1008380,378.77
3.198492669,1008332,378.55
3.193605083,1008308,378.28
3.193605083,1008284,377.97
3.188717498,1008212,377.6
3.188717498,1008212,377.31
3.186273705,1008236,377.1
3.183829912,1008260,376.81
3.183829912,1008260,376.49
3.181386119,1008212,376.25
3.178942326,1008164,376.04
3.178942326,1008212,375.72
3.174054741,1008140,375.35
3.174054741,1008188,375.04
3.171610948,1008260,374.78
3.169167155,1008188,374.47
3.16427957,1008188,374.16
3.16427957,1008236,373.86
3.16427957,1008260,373.63
3.159391984,1008236,373.22
3.159391984,1008260,372.89
3.154504399,1008236,372.62
3.154504399,1008236,372.24
3.152060606,1008332,371.87
3.149616813,1008260,371.53
3.147173021,1008260,371.2
3.144729228,1008236,370.94
3.144729228,1008308,370.63
3.142285435,1008284,370.27
3.139841642,1008308,370.02
3.13739785,1008212,369.69
3.134954057,1008308,369.33
3.132510264,1008284,369.08
3.130066471,1008356,368.77
3.130066471,1008308,368.4
3.125178886,1008308,368.05
3.125178886,1008284,367.8
3.122735093,1008284,367.54
3.1202913,1008308,367.07
3.1202913,1008236,366.7
3.115403715,1008332,366.43
