Voltage (V),Frequency (Hz),Current (uA)
3.332901271,12172588,3347
3.330457478,12172584,3346
3.332901271,12172580,3344
3.330457478,12172576,3342
3.330457478,12172572,3341
3.325569892,12172568,3339
3.325569892,12172556,3338
3.325569892,12172548,3336
3.3231261,12172524,3334
3.320682307,12172508,3332
3.318238514,12172484,3330
3.318238514,12172408,3328
3.315794721,12172376,3326
3.315794721,12172308,3324
3.313350929,12172192,3322
3.310907136,12172144,3319
3.308463343,12172060,3318
3.308463343,12171996,3315
3.30601955,12171968,3314
3.30601955,12171936,3312
3.30601955,12171928,3310
3.30601955,12171920,3308
3.298688172,12171896,3306
3.298688172,12171880,3304
3.296244379,12171868,3302
3.296244379,12171820,3300
3.293800587,12171796,3298
3.293800587,12171756,3296
3.291356794,12171708,3294
3.291356794,12171660,3292
3.288913001,12171592,3290
3.286469208,12171556,3287
3.284025416,12171476,3286
3.284025416,12171408,3284
3.281581623,12171384,3282
3.27913783,12171336,3281
3.276694037,12171300,3278
3.27913783,12171284,3277
3.276694037,12171272,3275
3.274250245,12171248,3273
3.271806452,12171236,3271
3.271806452,12171196,3270
3.271806452,12171144,3268
3.269362659,12171092,3266
3.264475074,12171000,3264
3.264475074,12170908,3262
3.266918866,12170784,3262
3.264475074,12170688,3261
3.264475074,12170580,3259
3.262031281,12170424,3258
3.259587488,12170368,3255
3.259587488,12170264,3254
3.254699902,12170128,3250
3.254699902,12170096,3248
3.252256109,12170044,3246
3.252256109,12169964,3245
3.247368524,12169936,3242
3.247368524,12169908,3241
3.247368524,12169848,3238
3.242480938,12169816,3236
3.244924731,12169748,3234
3.240037146,12169608,3232
3.240037146,12169500,3230
3.237593353,12169364,3227
3.237593353,12169172,3225
3.232705767,12168972,3223
3.232705767,12168828,3222
3.232705767,12168696,3220
3.230261975,12168444,3218
3.227818182,12168348,3216
3.230261975,12168248,3214
3.227818182,12168020,3212
3.227818182,12167980,3210
3.222930596,12167912,3207
3.220486804,12167776,3205
3.218043011,12167744,3202
3.218043011,12167688,3200
3.215599218,12167568,3198
3.213155425,12167524,3194
3.210711633,12167452,3191
3.210711633,12167184,3189
3.20826784,12167076,3187
3.20826784,12166928,3185
3.203380254,12166660,3184
3.203380254,12166472,3182
3.203380254,12166256,3179
3.198492669,12166144,3177
3.198492669,12165900,3175
3.196048876,12165772,3172
3.191161291,12165704,3170
3.191161291,12165520,3167
3.193605083,12165500,3166
3.188717498,12165452,3164
3.183829912,12165340,3162
3.183829912,12165320,3159
3.181386119,12165280,3158
3.183829912,12165036,3156
3.181386119,12164988,3154
3.178942326,12164900,3151
3.178942326,12164432,3150
3.176498534,12164356,3147
3.174054741,12164112,3146
3.174054741,12163796,3143
3.174054741,12163708,3142
3.166723363,12163408,3137
3.154504399,12163320,3127
3.156948192,12163228,3119
3.154504399,12163136,3117
3.152060606,12163120,3116
3.154504399,12163048,3117
3.152060606,12163028,3116
3.149616813,12162996,3114
3.149616813,12162768,3112
3.147173021,12162664,3110
3.144729228,12162556,3107
3.142285435,12162016,3106
3.139841642,12161836,3105
