Voltage (V),Frequency (Hz),Time (uA),,
2.809881721,16210700,3547,,
2.807926686,16211612,3545,,
2.807193549,16211948,3544,,
2.807193548,16212884,3543,,
2.804505376,16199348,3541,,
2.803772239,16200020,3539,,
2.802550342,16206308,3538,,
2.803039101,16201340,3537,,
2.802550342,16203308,3535,,
2.800350929,16208036,3534,,
2.799129032,16202804,3532,,
2.800350929,16201172,3531,,
2.799617791,16201580,3528,,
2.798395895,16203188,3527,,
2.795218964,16206764,3526,,
2.795707723,16201628,3525,,
2.795218964,16199612,3523,,
2.794485826,16207628,3522,,
2.791797654,16201076,3520,,
2.790575758,16217012,3519,,
2.792286413,16216916,3518,,
2.791797654,16216676,3516,,
2.790331378,16217348,3515,,
2.787643207,16211132,3514,,
2.78959824,16200860,3514,,
2.788376344,16204748,3512,,
2.786665689,16208636,3510,,
2.787887586,16201724,3510,,
2.785688172,16201724,3510,,
2.785199414,16217540,3510,,
2.784466276,16218812,3509,,
2.784955034,16219868,3508,,
2.779089932,16219436,3506,,
2.780311828,16218692,3505,,
2.77982307,16219700,3503,,
2.781044966,16219820,3502,,
2.77640176,16220804,3501,,
2.777868035,16220444,3500,,
2.77640176,16221380,3499,,
2.775668622,16219676,3497,,
2.775913001,16206452,3496,,
2.773224829,16207916,3495,,
2.771758553,16210220,3494,,
2.772002933,16207172,3495,,
2.771758553,16206332,3495,,
2.771758553,16209740,3494,,
2.771025415,16210004,3492,,
2.768581623,16220756,3490,,
2.769803519,16222364,3489,,
2.766382209,16222628,3487,,
2.766382209,16223588,3486,,
2.765649072,16224812,3485,,
2.7629609,16223108,3483,,
2.763205279,16224644,3481,,
2.760517107,16210220,3481,,
2.761005865,16212884,3479,,
2.761005865,16218020,3477,,
2.761005865,16225244,3475,,
2.757828935,16225172,3474,,
2.756362659,16225892,3472,,
2.754407625,16226204,3470,,
2.754407625,16227260,3469,,
2.755629521,16225628,3468,,
2.752941349,16227572,3467,,
2.753674487,16226972,3465,,
2.752941349,16219028,3464,,
2.750986315,16212884,3463,,
2.748298143,16214060,3461,,
2.747076246,16217084,3460,,
2.749031281,16215116,3458,,
2.746343109,16222100,3457,,
2.747809384,16227524,3454,,
2.746587488,16229300,3454,,
2.74243304,16228820,3452,,
2.743166178,16221332,3451,,
2.74243304,16219388,3449,,
2.741699902,16228532,3448,,
2.739011731,16229948,3446,,
2.740233627,16229588,3445,,
2.739011731,16218164,3444,,
2.739500489,16219244,3442,,
2.734368524,16223924,3440,,
2.733146628,16225148,3439,,
2.733635387,16218428,3437,,
2.733146628,16225820,3435,,
2.73241349,16227908,3434,,
2.730214076,16231412,3431,,
2.729236559,16232780,3429,,
2.72899218,16232612,3428,,
2.726548388,16223612,3426,,
2.727037146,16222244,3425,,
2.72581525,16228268,3424,,
2.723127077,16232948,3422,,
2.723127078,16234340,3421,,
2.721660802,16233668,3419,,
2.720438906,16228220,3418,,
2.719217009,16222700,3417,,
2.720438906,16228604,3416,,
2.718483871,16229756,3414,,
2.719461388,16224068,3413,,
2.717017595,16234508,3411,,
2.715795699,16224188,3410,,
2.715062561,16225076,3409,,
2.717017595,16235588,3407,,
2.712374389,16236380,3406,,
2.712374389,16230068,3405,,
2.711641251,16227404,3403,,
2.709686217,16231748,3402,,
2.708464321,16227548,3401,,
2.708464321,16227380,3399,,
2.707731183,16232996,3397,,
2.706509287,16238108,3396,,
2.707731183,16226444,3394,,
2.705776149,16233788,3393,,
2.705531769,16228124,3392,,
2.706998045,16234340,3390,,
2.702354839,16234340,3389,,
2.704309873,16231916,3387,,
2.699177908,16234412,3385,,
2.699911046,16233260,3384,,
2.696489736,16239044,3382,,
2.69844477,16234580,3381,,
2.696489736,16235180,3380,,
2.695756598,16240124,3378,,
2.693801564,16235612,3377,,
2.693068426,16234484,3374,,
2.69184653,16234916,3373,,
2.691602151,16236548,3372,,
2.690869013,16234892,3370,,
2.689158358,16237172,3369,,
2.689647117,16235996,3367,,
2.687692082,16236884,3366,,
2.686958944,16236524,3365,,
2.68524829,16237004,3364,,
