Voltage (V),Frequency (Hz),Time (uA),,
3.452647116,15857852,4502,,
3.447759531,15856124,4501,,
3.447759531,15858236,4500,,
3.450203324,15856316,4499,,
3.447759531,15857300,4497,,
3.447759531,15857684,4495,,
3.442871945,15858260,4494,,
3.442871945,15859244,4493,,
3.445315738,15851828,4492,,
3.445315738,15858548,4491,,
3.442871945,15860756,4489,,
3.440428153,15859700,4487,,
3.442871945,15860492,4486,,
3.442871945,15861788,4484,,
3.433096774,15862292,4482,,
3.435540567,15861428,4481,,
3.435540567,15863252,4479,,
3.435540567,15864140,4478,,
3.435540567,15862820,4477,,
3.433096775,15862964,4475,,
3.430652982,15863708,4473,,
3.430652982,15863948,4472,,
3.433096774,15865748,4470,,
3.430652982,15867092,4469,,
3.428209189,15867164,4467,,
3.428209189,15866588,4465,,
3.428209189,15869132,4465,,
3.428209189,15868436,4463,,
3.425765396,15870236,4461,,
3.425765396,15868868,4460,,
3.425765396,15869564,4458,,
3.423321603,15870908,4457,,
3.423321603,15870908,4456,,
3.423321603,15870020,4455,,
3.418434018,15873356,4453,,
3.418434018,15869996,4452,,
3.415990225,15870620,4450,,
3.415990225,15871988,4449,,
3.413546432,15872612,4448,,
3.418434018,15871820,4446,,
3.413546432,15873572,4445,,
3.415990225,15873308,4444,,
3.413546433,15874388,4443,,
3.41110264,15876548,4441,,
3.41110264,15875420,4440,,
3.408658847,15877796,4437,,
3.41110264,15877484,4436,,
3.41110264,15878972,4434,,
3.408658847,15879260,4433,,
3.403771261,15877700,4431,,
3.406215054,15877772,4429,,
3.403771261,15881252,4427,,
3.403771261,15880796,4426,,
3.401327468,15882404,4424,,
3.398883675,15882068,4423,,
3.401327468,15880940,4422,,
3.401327468,15880988,4420,,
3.396439883,15884468,4419,,
3.396439883,15890324,4417,,
3.396439883,15883532,4416,,
3.396439883,15886676,4415,,
3.396439883,15884396,4414,,
3.391552297,15885020,4412,,
3.39399609,15884996,4412,,
3.39399609,15885524,4411,,
3.391552297,15887780,4409,,
3.391552297,15889220,4408,,
3.389108504,15894212,4407,,
3.386664712,15886772,4405,,
3.386664712,15889532,4404,,
3.386664712,15888836,4402,,
3.386664712,15889676,4401,,
3.386664712,15890492,4400,,
3.381777126,15891284,4398,,
3.384220919,15892028,4397,,
3.379333333,15892244,4397,,
3.381777126,15893828,4395,,
3.376889541,15901268,4394,,
3.379333334,15885428,4393,,
3.379333334,15885092,4392,,
3.379333333,15891428,4390,,
3.376889541,15893564,4388,,
3.374445748,15895916,4387,,
3.376889541,15896588,4386,,
3.374445748,15897428,4385,,
3.376889541,15895724,4384,,
3.374445748,15898244,4382,,
3.372001955,15898508,4381,,
3.372001955,15895988,4380,,
3.36711437,15898844,4378,,
3.364670577,15899348,4378,,
3.369558163,15904172,4377,,
3.35000782,15905444,4370,,
3.35000782,15900356,4358,,
3.352451613,15901340,4354,,
3.354895406,15899612,4352,,
3.352451613,15907652,4350,,
3.352451613,15900260,4350,,
3.35000782,15901556,4350,,
3.354895406,15899996,4348,,
3.350007821,15910220,4348,,
3.35000782,15918308,4346,,
3.35000782,15917780,4345,,
3.347564028,15917900,4343,,
3.347564028,15903188,4341,,
3.347564028,15909716,4341,,
3.345120235,15922076,4339,,
3.342676442,15921356,4338,,
3.345120235,15919196,4336,,
3.342676442,15921572,4334,,
3.342676442,15921812,4333,,
3.342676442,15923876,4332,,
3.340232649,15922484,4329,,
3.337788857,15916460,4328,,
3.335345064,15916532,4327,,
3.335345064,15927332,4326,,
3.332901271,15924020,4325,,
3.335345064,15926828,4323,,
3.332901271,15926708,4321,,
3.330457478,15924956,4321,,
3.330457478,15925796,4319,,
3.332901271,15925508,4318,,
3.330457478,15929084,4318,,
3.328013685,15912020,4318,,
3.330457478,15914732,4316,,
3.330457478,15915572,4314,,
3.330457478,15915020,4313,,
3.328013685,15915980,4311,,
3.328013685,15916460,4311,,
3.325569892,15917684,4309,,
3.3231261,15919436,4308,,
3.325569892,15917828,4307,,
3.325569892,15918188,4305,,
3.320682307,15918692,4303,,
3.320682307,15934436,4301,,
3.320682307,15936380,4300,,
3.318238514,15934508,4299,,
3.320682307,15932804,4298,,
3.315794721,15933812,4297,,
3.310907136,15934364,4296,,
3.318238514,15935804,4294,,
3.313350929,15936404,4292,,
3.308463343,15938756,4291,,
3.310907136,15938348,4290,,
3.310907136,15936956,4289,,
3.310907136,15942164,4288,,
3.308463343,15942044,4286,,
3.310907136,15940724,4285,,
3.308463343,15944420,4283,,
3.303575758,15943892,4282,,
3.30601955,15943316,4282,,
3.303575758,15944756,4280,,
3.30601955,15944900,4278,,
3.301131965,15942572,4278,,
3.303575758,15944636,4276,,
3.303575758,15944708,4275,,
3.298688172,15943868,4274,,
3.296244379,15947108,4272,,
3.296244379,15945668,4270,,
3.296244379,15947444,4269,,
3.296244379,15945764,4268,,
3.296244379,15946988,4266,,
3.296244379,15947828,4265,,
3.296244379,15947012,4263,,
3.293800587,15951068,4262,,
3.288913001,15949676,4261,,
3.291356794,15952436,4259,,
3.291356794,15953396,4257,,
3.288913001,15953756,4257,,
3.286469208,15952388,4255,,
3.284025416,15952700,4254,,
3.284025416,15955100,4253,,
3.284025416,15953300,4251,,
3.286469208,15954092,4249,,
3.281581623,15954572,4248,,
3.27913783,15955868,4246,,
3.281581623,15956804,4245,,
3.27913783,15959348,4242,,
3.27913783,15959084,4242,,
3.276694037,15959492,4242,,
3.276694037,15957212,4241,,
3.276694037,15959228,4239,,
3.271806452,15959684,4237,,
3.271806452,15959028,4236,,
3.271806452,15958820,4234,,
3.274250245,15961172,4233,,
3.269362659,15960860,4232,,
3.271806452,15954164,4230,,
3.271806452,15947996,4230,,
3.266918866,15948788,4228,,
3.266918866,15949772,4227,,
3.269362659,15950684,4226,,
3.264475074,15964748,4225,,
3.264475074,15966572,4223,,
3.264475074,15966356,4221,,
3.266918866,15967964,4220,,
3.266918866,15969860,4219,,
3.262031281,15961284,4218,,
3.262031281,15952124,4217,,
3.262031281,15953396,4216,,
3.259587488,15954932,4216,,
3.259587488,15955484,4215,,
3.257143695,15957284,4214,,
3.257143695,15956204,4213,,
3.257143695,15965780,4212,,
3.257143695,15973988,4210,,
3.253885304,15965684,4208,,
3.252256109,15970820,4206,,
3.252256109,15963860,4205,,
3.249812317,15957356,4204,,
3.249812317,15960044,4203,,
3.252256109,15958148,4201,,
3.249812317,15963212,4200,,
3.249812317,15962948,4199,,
3.247368524,15959972,4198,,
3.249812317,15964508,4197,,
3.249812317,15963572,4195,,
3.247368524,15963980,4194,,
3.247368524,15966644,4192,,
3.244924731,15965156,4191,,
3.247368524,15965444,4190,,
3.244924731,15964460,4189,,
3.244924731,15965948,4189,,
3.242480938,15972908,4187,,
3.240037146,15967940,4186,,
3.242480938,15968324,4185,,
3.242480938,15969212,4184,,
3.240037146,15969644,4183,,
3.237593353,15973844,4181,,
3.240037146,15983108,4179,,
3.237593353,15981924,4178,,
3.232705767,15979532,4177,,
3.23514956,15983228,4176,,
3.237593353,15986468,4174,,
3.232705767,15972644,4173,,
3.232705767,15972956,4172,,
3.232705767,15973052,4171,,
3.232705767,15974100,4170,,
3.232705767,15972164,4168,,
3.227818182,15972572,4167,,
3.227818182,15981212,4166,,
3.230261975,15987716,4164,,
3.227818182,15974180,4163,,
3.227818182,15975044,4162,,
3.225374389,15976964,4161,,
3.222930596,15983444,4160,,
3.224559791,15990004,4159,,
3.222930596,15989540,4157,,
3.222930596,15993332,4157,,
3.218043011,15993332,4155,,
3.218043011,15980036,4153,,
3.222930596,15986564,4153,,
3.218043011,15985700,4152,,
3.218043011,15987188,4151,,
3.216413816,15985764,4149,,
3.218043011,15980804,4148,,
3.218043011,15981620,4147,,
3.218043011,15981620,4145,,
3.210711633,15999020,4143,,
3.213155425,15985268,4143,,
3.213155425,15986180,4142,,
3.213155425,15984068,4140,,
3.213155425,15994124,4139,,
3.20826784,15994964,4138,,
